"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","2","TS-1088-AR02016","Boot1,Reset1","SW-SMD_L3.9-W3.0-P4.45","","TS-1088-AR02016","XUNPU(讯普)","C720477","LCSC"
"2","1","buzzer","BUZZER1","BUZ-TH_BD12.0-P6.00-D0.9-RD","","buzzer","","C9900014030","LCSC"
"3","9","100nF","C1,C3,C4,C6,C7,C12,C14,C16,C18","C0201","100nF","","","",""
"4","8","10uF","C2,C8,C9,C10,C11,C13,C15,C17","C0201","10uF","","","",""
"5","1","2.2nF","C5","C0201","2.2nF","","","",""
"6","1","TF-CARD-ETF010811020008X","CARD1","TF-SMD_TF-012","","TF-CARD-ETF010811020008X","","C9900021535","LCSC"
"7","4","SS12","D1,D2,D3,D5","SMA_L4.4-W2.6-LS5.0-RD","","SS12","","C379819","LCSC"
"8","1","USBLC6-2SC6","D4","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","","USBLC6-2SC6","","C323793","LCSC"
"9","1","KT-0805YG","GreenYellowLED1","LED0805-R-RD","","KT-0805YG","KENTO","C2292","LCSC"
"10","5","2.54-1*2P母","H1,H2,H3,H4,H5","HDR-TH_2P-P2.54-V-F","","2.54-1*2P母","BOOMELE(博穆精密)","C49661","LCSC"
"11","2","KT-0603R","LED1,LED2","LED-SMD_L1.6-W0.8-R-RD","","KT-0603R","KENTO","C2286","LCSC"
"12","2","ME6211C28M5G-N","ME6211C28M5G-N1,ME6211C28M5G-N2","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","","ME6211C28M5G-N","MICRONE(南京微盟)","C53099","LCSC"
"13","4","SI2302A-TP","Q1,Q2,Q3,Q5","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","SI2302A-TP","MCC(美微科)","C668996","LCSC"
"14","1","FS8205A","Q6","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","","FS8205A","FUXINSEMI(富芯森美)","C908265","LCSC"
"15","1","1KΩ","R1","R0603","1KΩ","","","",""
"16","13","10kΩ","R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14","R0603","10kΩ","","","",""
"17","1","1.2k","R15","R0603","1.2k","","","",""
"18","3","1k","R16,R17,R18","R0603","1k","","","",""
"19","1","100","R19","R0603","100","","","",""
"20","2","5.1k","R20,R21","R0603","5.1k","","","",""
"21","1","100k","R22","R0603","100k","","","",""
"22","1","100K","R23","R0603","100K","","","",""
"23","1","MK-12C02-G015","SW1","SW-SMD_G-SWITCH_MK-12C02-G015","","MK-12C02-G015","","C9900021215","LCSC"
"24","1","2.4GHz","U1","WIRELM-SMD_ESP32-S3-WROOM-1","2.4GHz","ESP32-S3-WROOM-1-N16R2","ESPRESSIF(乐鑫)","C2913205","LCSC"
"25","1","ZX-0.5FPC-FWX-H1.5-24P","U2","FPC-SMD_24P-P0.50_ZX-0.5FPC-FWX-H1.5-24P","","ZX-0.5FPC-FWX-H1.5-24P","Megastar(兆星)","C7544628","LCSC"
"26","1","MPU-6050","U3","QFN-24_L4.0-W4.0-P0.50-BL-EP2.7","","MPU-6050","TDK InvenSense(应美盛)","C24112","LCSC"
"27","1","TP4056-42-ESOP8","U4","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","","TP4056-42-ESOP8","TOPPOWER(南京拓微)","C16581","LCSC"
"28","1","DW01A-JSM","U5","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","","DW01A-JSM","JSMSEMI(杰盛微)","C39846919","LCSC"
"29","1","XC6220B331PR-G","U6","SOT-89-5_L4.5-W2.5-P1.50-LS4.4-BR","","XC6220B331PR-G","TOREX(特瑞仕)","C3013658","LCSC"
"30","1","TYPE-C16PIN","USB1","USB-C-SMD_TYPE-C16PIN","","TYPE-C16PIN","SHOU HAN(首韩)","C393939","LCSC"
